nombre,categoria,cocina,comuna,barrio,lat,long,geometry
BARILOCHE,RESTAURANTE,MINUTAS,Comuna 3,Balvanera,-34.6062041879669,-58.4017984445657,POINT (-58.4017984445657 -34.6062041879669)
BARIMSH,PUB,INTERNACIONAL,Comuna 3,Balvanera,-34.6093801210049,-58.3938857516266,POINT (-58.3938857516266 -34.6093801210049)
BAR LA ESCUELA,RESTAURANTE,SANDWICHERIA,Comuna 13,NuAfA+-ez,-34.5536475736201,-58.4699543620367,POINT (-58.4699543620367 -34.5536475736201)
BAR LAPRIDA,BAR,MINUTAS,Comuna 2,Recoleta,-34.5936881404824,-58.4071101170768,POINT (-58.4071101170768 -34.5936881404824)
BAR LA ROBLA,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6006844678286,-58.3898816897671,POINT (-58.3898816897671 -34.6006844678286)
BAR LAS VEGAS,RESTAURANTE,INTERNACIONAL,Comuna 8,Villa Lugano,-34.6633247895132,-58.4886407352982,POINT (-58.4886407352982 -34.6633247895132)
BAR LEGALES,CAFE,MINUTAS,Comuna 1,Retiro,-34.5957222983705,-58.3725090582826,POINT (-58.3725090582826 -34.5957222983705)
BAR LOS ANGELES,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5922812620218,-58.4105074672265,POINT (-58.4105074672265 -34.5922812620218)
BAR LOS BILLARES DE MATADEROS,RESTAURANTE,MINUTAS,Comuna 9,Mataderos,-34.6678433435037,-58.5063810888385,POINT (-58.5063810888385 -34.6678433435037)
BARLOVENTO SHOW,RESTAURANTE,MINUTAS,Comuna 12,Villa Urquiza,-34.5766162861414,-58.4988718850719,POINT (-58.4988718850719 -34.5766162861414)
BAR MAYO,CAFE,MINUTAS,Comuna 1,Monserrat,-34.6166703859505,-58.3842939694692,POINT (-58.3842939694692 -34.6166703859505)
BAR MEMOS,BAR,MINUTAS,Comuna 1,San Nicolas,-34.600883025285,-58.3810840673032,POINT (-58.3810840673032 -34.600883025285)
BAR MICHI,RESTAURANTE,MINUTAS,Comuna 1,Constitucion,-34.6282515332315,-58.3845026324352,POINT (-58.3845026324352 -34.6282515332315)
BAR MITRE,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6070114862101,-58.3768430825713,POINT (-58.3768430825713 -34.6070114862101)
BAROLO BISTRO,RESTAURANTE,DE AUTOR,Comuna 14,Palermo,-34.5839673882177,-58.4379717552198,POINT (-58.4379717552198 -34.5839673882177)
BAR ORIENTE,RESTAURANTE,MINUTAS,Comuna 15,Villa Ortuzar,-34.5791606241174,-58.4670237187394,POINT (-58.4670237187394 -34.5791606241174)
BAR ORQUIDEA,RESTAURANTE,MINUTAS,Comuna 5,Almagro,-34.6029183211892,-58.4226685067379,POINT (-58.4226685067379 -34.6029183211892)
BAR OVIEDO,BAR,REGIONAL,Comuna 9,Mataderos,-34.6627141169899,-58.5000649481055,POINT (-58.5000649481055 -34.6627141169899)
BAR OVIEDO,CAFE,SANDWICHERIA,Comuna 10,Villa Real,-34.6172905135824,-58.5294797141672,POINT (-58.5294797141672 -34.6172905135824)
BAR PALACIO,RESTAURANTE,SANDWICHERIA,Comuna 15,Chacarita,-34.5844007611162,-58.4535725808869,POINT (-58.4535725808869 -34.5844007611162)
BAR PATRICE,CAFE,MINUTAS,Comuna 14,Palermo,-34.5829449181851,-58.424201829794,POINT (-58.424201829794 -34.5829449181851)
BARRA LA TASCA,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6007353472034,-58.3709837530274,POINT (-58.3709837530274 -34.6007353472034)
BAR RAMOS,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6043116010286,-58.3895247706281,POINT (-58.3895247706281 -34.6043116010286)
BAR RHIN,RESTAURANTE,SANDWICHERIA,Comuna 10,Floresta,-34.6337443550755,-58.4825506339784,POINT (-58.4825506339784 -34.6337443550755)
BAR ROMA,BAR,SANDWICHERIA,Comuna 3,Balvanera,-34.5994510085216,-58.4088470254048,POINT (-58.4088470254048 -34.5994510085216)
BAR SAAVEDRA,CAFE,SANDWICHERIA,Comuna 12,Saavedra,-34.5550142194532,-58.4867638246928,POINT (-58.4867638246928 -34.5550142194532)
BAR SAN JOSE,BAR,MINUTAS,Comuna 3,Balvanera,-34.6072980688565,-58.3995365887322,POINT (-58.3995365887322 -34.6072980688565)
BAR SRL,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6043153172722,-58.3703750089991,POINT (-58.3703750089991 -34.6043153172722)
BAR SUAREZ,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6023430213295,-58.3783021905292,POINT (-58.3783021905292 -34.6023430213295)
B'ART,RESTAURANTE,TAPAS,Comuna 14,Palermo,-34.5848697091763,-58.4245685077012,POINT (-58.4245685077012 -34.5848697091763)
BARTHO,PUB,FAST FOOD,Comuna 3,Balvanera,-34.6089328798557,-58.3934438349994,POINT (-58.3934438349994 -34.6089328798557)
BAR TIENDA LA BUSQUEDA,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6003310265344,-58.3740042446174,POINT (-58.3740042446174 -34.6003310265344)
BARTOLO,CAFE,MINUTAS,Comuna 1,Constitucion,-34.6284127890946,-58.38145429261,POINT (-58.38145429261 -34.6284127890946)
BARTOLO,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6065494482009,-58.3710914536755,POINT (-58.3710914536755 -34.6065494482009)
BARTOLOMEO,PUB,MINUTAS,Comuna 1,San Nicolas,-34.607694089511,-58.3879668929377,POINT (-58.3879668929377 -34.607694089511)
BAR TUCUMAN,BAR,MINUTAS,Comuna 3,Balvanera,-34.6007662580393,-58.4098126725987,POINT (-58.4098126725987 -34.6007662580393)
